City,Country,AQI
Lahore,Pakistan,228
Tehran,Iran,198
Chongqing,China,198
Delhi,India,192
Dhaka,Bangladesh,186
Kolkata,India,181
Chengdu,China,167
Cairo,Egypt,163
Sarajevo,Bosnia Herzegovina,158
Mumbai,India,155
Kampala,Uganda,152
Kathmandu,Nepal,129
Wuhan,China,119
Portland,USA,117
Beijing,China,111
Dakar,Senegal,107
Hanoi,Vietnam,107
Bucharest,Romania,105
Hangzhou,China,105
Karachi,Pakistan,102
Accra,Ghana,97
Bangkok,Thailand,97
Almaty,Kazakhstan,95
Tashkent,Uzbekistan,94
Skopje,North Macedonia,93
Chiang Mai,Thailand,92
Tel Aviv-Yafo,Israel,90
Zagreb,Croatia,89
Istanbul,Turkey,88
Dubai,United Arab Emirates,88
Kinshasa,Democratic Republic of the Congo,86
Kyiv,Ukraine,85
Shanghai,China,85
Baghdad,Iraq,84
Bishkek,Kyrgyzstan,83
Medan,Indonesia,82
Sofia,Bulgaria,81
Manama,Bahrain,79
Baku,Azerbaijan,79
Guangzhou,China,77
Prague,Czech Republic,75
Krasnoyarsk,Russia,73
Doha,Qatar,71
Jerusalem,Israel,71
Busan,South Korea,71
Kuwait City,Kuwait,69
Yangon,Myanmar,69
Kaohsiung,Taiwan,69
Budapest,Hungary,69
Denver,USA,69
Riyadh,Saudi Arabia,66
Kuala Lumpur,Malaysia,65
Los Angeles,USA,65
Addis Ababa,Ethiopia,64
Lyon,France,64
Phnom Penh,Cambodia,64
Kraków,Poland,64
Shenzhen,China,64
Ho Chi Minh City,Vietnam,64
Osaka,Japan,64
Hong Kong,Hong Kong SAR,64
Kobe,Japan,64
Jakarta,Indonesia,64
Ljubljana,Slovenia,63
Milano,Italy,63
Lima,Peru,63
Salt Lake City,USA,61
Wrocław,Poland,60
Belgrade,Serbia,60
Santiago,Chile,59
Incheon,South Korea,59
Bratislava,Slovakia,58
Rome,Italy,58
Kyoto,Japan,58
Manila,Philippines,57
Sao Paulo,Brazil,57
Seoul,South Korea,56
Seattle,USA,56
Singapore,Singapore,55
Moscow,Russia,55
Vienna,Austria,55
Nairobi,Kenya,55
Warsaw,Poland,53
Amsterdam,Netherlands,52
Pristina,Kosovo,52
Vancouver,Canada,52
Chicago,USA,50
Kuching,Malaysia,49
Algiers,Algeria,47
Ulaanbaatar,Mongolia,44
London,United Kingdom,44
Taipei,Taiwan,42
Helsinki,Finland,41
Lisbon,Portugal,39
Barcelona,Spain,39
Houston,USA,39
Bogota,Colombia,38
Athens,Greece,38
Paris,France,35
Birmingham,United Kingdom,35
Bern,Switzerland,33
Oslo,Norway,33
Minneapolis,USA,33
Berlin,Germany,32
Kabul,Afghanistan,28
Washington D.C.,USA,28
New York City,USA,27
Toronto,Canada,24
Dublin,Ireland,23
Nice,France,22
Auckland,New Zealand,22
Tokyo,Japan,22
San Francisco,USA,22
Stockholm,Sweden,21
Munich,Germany,19
Copenhagen,Denmark,18
Brussels,Belgium,18
Detroit,USA,17
Madrid,Spain,15
Canberra,Australia,14
Sydney,Australia,14
Melbourne,Australia,12
Montreal,Canada,12
